2026-04-28 16:31:26  [LOG] 2026-04-28T16:31:26.050717 | grand=27540.79 | mofet=21732.79 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 2, 'fighter_2024': 107, 'routine_2025': 2, 'fighter_2025': 163, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 21732.79, 'tax_total': 5808, 'grand_total': 27540.79}
2026-04-28 16:31:27  [LOG] 2026-04-28T16:31:27.570536 | grand=10867.92 | mofet=5059.92 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 40, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 55, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 5059.92, 'tax_total': 5808, 'grand_total': 10867.92}
2026-04-28 16:31:33  [LOG] 2026-04-28T16:31:33.748306 | grand=12074.57 | mofet=6266.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 120, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 6266.57, 'tax_total': 5808, 'grand_total': 12074.57}
2026-04-28 16:31:36  [LOG] 2026-04-28T16:31:36.807967 | grand=20474.3 | mofet=14666.3 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 99, 'routine_2024': 0, 'fighter_2024': 128, 'routine_2025': 0, 'fighter_2025': 110, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 14666.3, 'tax_total': 5808, 'grand_total': 20474.3}
2026-04-28 16:31:39  [LOG] 2026-04-28T16:31:39.294133 | grand=35007.27 | mofet=29199.27 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 80, 'fighter_2025': 190, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 29199.27, 'tax_total': 5808, 'grand_total': 35007.27}
2026-04-28 16:31:39  [LOG] 2026-04-28T16:31:39.799425 | grand=11434.57 | mofet=5626.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 80, 'routine_2024': 0, 'fighter_2024': 44, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 73, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 5626.57, 'tax_total': 5808, 'grand_total': 11434.57}
2026-04-28 16:31:41  [LOG] 2026-04-28T16:31:41.520114 | grand=14341.12 | mofet=8533.12 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 95, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 8533.12, 'tax_total': 5808, 'grand_total': 14341.12}
2026-04-28 16:31:42  [LOG] 2026-04-28T16:31:42.958709 | grand=18341.02 | mofet=12533.02 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 145, 'routine_2024': 0, 'fighter_2024': 105, 'routine_2025': 0, 'fighter_2025': 94, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 12533.02, 'tax_total': 5808, 'grand_total': 18341.02}
2026-04-28 16:31:43  [LOG] 2026-04-28T16:31:43.644800 | grand=21234.57 | mofet=15426.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 71, 'fighter_2024': 98, 'routine_2025': 32, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 317, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 15426.57, 'tax_total': 5808, 'grand_total': 21234.57}
2026-04-28 16:31:44  [LOG] 2026-04-28T16:31:44.353200 | grand=4356 | mofet=0 | tax=4356 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 17, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 5, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 0, 'tax_total': 4356, 'grand_total': 4356}
2026-04-28 16:31:44  [LOG] 2026-04-28T16:31:44.403768 | grand=14361.13 | mofet=8553.13 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 62, 'routine_2024': 0, 'fighter_2024': 50, 'routine_2025': 0, 'fighter_2025': 32, 'gamar_2025': 36, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 8553.13, 'tax_total': 5808, 'grand_total': 14361.13}
2026-04-28 16:31:46  [LOG] 2026-04-28T16:31:46.580566 | grand=16207.74 | mofet=10399.74 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 109, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 10399.74, 'tax_total': 5808, 'grand_total': 16207.74}
2026-04-28 16:31:48  [LOG] 2026-04-28T16:31:48.696978 | grand=20474.3 | mofet=14666.3 | tax=5808 | inputs={'routine_2023': 24, 'fighter_2023': 26, 'routine_2024': 0, 'fighter_2024': 46, 'routine_2025': 0, 'fighter_2025': 110, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 14666.3, 'tax_total': 5808, 'grand_total': 20474.3}
2026-04-28 16:31:50  [LOG] 2026-04-28T16:31:50.140959 | grand=21674.27 | mofet=15866.27 | tax=5808 | inputs={'routine_2023': 90, 'fighter_2023': 0, 'routine_2024': 60, 'fighter_2024': 0, 'routine_2025': 90, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 1, 'age_exempt_days': 90, 'mofet_total': 15866.27, 'tax_total': 5808, 'grand_total': 21674.27}
2026-04-28 16:31:50  [LOG] 2026-04-28T16:31:50.719194 | grand=0 | mofet=0 | tax=0 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 5, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 0, 'tax_total': 0, 'grand_total': 0}
