2026-04-28 16:39:29  [LOG] 2026-04-28T16:39:29.527558 | grand=11194.57 | mofet=5386.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 98, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 5386.57, 'tax_total': 5808, 'grand_total': 11194.57}
2026-04-28 16:39:30  [LOG] 2026-04-28T16:39:30.399168 | grand=20074.31 | mofet=14266.31 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 83, 'routine_2024': 0, 'fighter_2024': 340, 'routine_2025': 3, 'fighter_2025': 107, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 14266.31, 'tax_total': 5808, 'grand_total': 20074.31}
2026-04-28 16:39:33  [LOG] 2026-04-28T16:39:33.811111 | grand=29007.42 | mofet=23199.42 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 86, 'routine_2024': 5, 'fighter_2024': 186, 'routine_2025': 5, 'fighter_2025': 140, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 1, 'age_exempt_days': 145, 'mofet_total': 23199.42, 'tax_total': 5808, 'grand_total': 29007.42}
2026-04-28 16:39:35  [LOG] 2026-04-28T16:39:35.113435 | grand=9854.57 | mofet=4046.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 3, 'fighter_2025': 0, 'gamar_2025': 60, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 4046.57, 'tax_total': 5808, 'grand_total': 9854.57}
2026-04-28 16:39:35  [LOG] 2026-04-28T16:39:35.875088 | grand=13807.8 | mofet=7999.8 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 60, 'routine_2024': 0, 'fighter_2024': 300, 'routine_2025': 0, 'fighter_2025': 60, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 7999.8, 'tax_total': 5808, 'grand_total': 13807.8}
2026-04-28 16:39:37  [LOG] 2026-04-28T16:39:37.321169 | grand=9734.57 | mofet=3926.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 61, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 3926.57, 'tax_total': 5808, 'grand_total': 9734.57}
2026-04-28 16:39:38  [LOG] 2026-04-28T16:39:38.918561 | grand=24474.2 | mofet=18666.2 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 86, 'routine_2024': 5, 'fighter_2024': 186, 'routine_2025': 5, 'fighter_2025': 140, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 18666.2, 'tax_total': 5808, 'grand_total': 24474.2}
2026-04-28 16:39:38  [LOG] 2026-04-28T16:39:38.946371 | grand=9854.57 | mofet=4046.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 3, 'fighter_2025': 0, 'gamar_2025': 60, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 4046.57, 'tax_total': 5808, 'grand_total': 9854.57}
2026-04-28 16:39:39  [LOG] 2026-04-28T16:39:39.864469 | grand=4356 | mofet=0 | tax=4356 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 3, 'fighter_2025': 21, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 0, 'tax_total': 4356, 'grand_total': 4356}
2026-04-28 16:39:41  [LOG] 2026-04-28T16:39:41.265321 | grand=38873.84 | mofet=33065.84 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 219, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 1, 'age_exempt_days': 219, 'mofet_total': 33065.84, 'tax_total': 5808, 'grand_total': 38873.84}
2026-04-28 16:39:45  [LOG] 2026-04-28T16:39:45.215122 | grand=3924 | mofet=1020 | tax=2904 | inputs={'routine_2023': 0, 'fighter_2023': 80, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 17, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 1020, 'tax_total': 2904, 'grand_total': 3924}
