2026-04-28 17:07:06  [LOG] 2026-04-28T17:07:06.308022 | grand=15807.75 | mofet=9999.75 | tax=5808 | inputs={'routine_2023': 18, 'fighter_2023': 94, 'routine_2024': 2, 'fighter_2024': 54, 'routine_2025': 0, 'fighter_2025': 75, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 9999.75, 'tax_total': 5808, 'grand_total': 15807.75}
2026-04-28 17:07:08  [LOG] 2026-04-28T17:07:08.385932 | grand=13154.57 | mofet=7346.57 | tax=5808 | inputs={'routine_2023': 10, 'fighter_2023': 84, 'routine_2024': 0, 'fighter_2024': 300, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 116, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 7346.57, 'tax_total': 5808, 'grand_total': 13154.57}
2026-04-28 17:07:10  [LOG] 2026-04-28T17:07:10.467574 | grand=50340.22 | mofet=44532.22 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 1, 'commander_days': 365, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 44532.22, 'tax_total': 5808, 'grand_total': 50340.22}
2026-04-28 17:07:11  [LOG] 2026-04-28T17:07:11.024450 | grand=50340.22 | mofet=44532.22 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 1, 'commander_days': 365, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 44532.22, 'tax_total': 5808, 'grand_total': 50340.22}
2026-04-28 17:07:11  [LOG] 2026-04-28T17:07:11.142340 | grand=50340.22 | mofet=44532.22 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 1, 'commander_days': 365, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 44532.22, 'tax_total': 5808, 'grand_total': 50340.22}
2026-04-28 17:07:11  [LOG] 2026-04-28T17:07:11.409780 | grand=9541.24 | mofet=3733.24 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 19, 'fighter_2025': 40, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 3733.24, 'tax_total': 5808, 'grand_total': 9541.24}
2026-04-28 17:07:11  [LOG] 2026-04-28T17:07:11.440429 | grand=50340.22 | mofet=44532.22 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 1, 'commander_days': 365, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 44532.22, 'tax_total': 5808, 'grand_total': 50340.22}
2026-04-28 17:07:11  [LOG] 2026-04-28T17:07:11.641759 | grand=50340.22 | mofet=44532.22 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 1, 'commander_days': 365, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 44532.22, 'tax_total': 5808, 'grand_total': 50340.22}
2026-04-28 17:07:12  [LOG] 2026-04-28T17:07:12.411981 | grand=14474.45 | mofet=8666.45 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 80, 'routine_2024': 0, 'fighter_2024': 65, 'routine_2025': 0, 'fighter_2025': 65, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 8666.45, 'tax_total': 5808, 'grand_total': 14474.45}
2026-04-28 17:07:12  [LOG] 2026-04-28T17:07:12.502153 | grand=24474.2 | mofet=18666.2 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 100, 'routine_2024': 0, 'fighter_2024': 41, 'routine_2025': 0, 'fighter_2025': 140, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 18666.2, 'tax_total': 5808, 'grand_total': 24474.2}
