2026-04-28 16:48:27  [LOG] 2026-04-28T16:48:27.803528 | grand=21874.57 | mofet=16066.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 365, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 16066.57, 'tax_total': 5808, 'grand_total': 21874.57}
2026-04-28 16:48:29  [LOG] 2026-04-28T16:48:29.541110 | grand=0 | mofet=0 | tax=0 | inputs={'routine_2023': 0, 'fighter_2023': 45, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 0, 'commander': 1, 'commander_days': 2, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 0, 'tax_total': 0, 'grand_total': 0}
2026-04-28 16:48:30  [LOG] 2026-04-28T16:48:30.514335 | grand=4356 | mofet=0 | tax=4356 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 30, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 0, 'tax_total': 4356, 'grand_total': 4356}
2026-04-28 16:48:30  [LOG] 2026-04-28T16:48:30.914609 | grand=7289.26 | mofet=2933.26 | tax=4356 | inputs={'routine_2023': 0, 'fighter_2023': 117, 'routine_2024': 0, 'fighter_2024': 47, 'routine_2025': 0, 'fighter_2025': 22, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 2933.26, 'tax_total': 4356, 'grand_total': 7289.26}
2026-04-28 16:48:32  [LOG] 2026-04-28T16:48:32.853678 | grand=18607.68 | mofet=12799.68 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 85, 'routine_2024': 0, 'fighter_2024': 178, 'routine_2025': 0, 'fighter_2025': 96, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 12799.68, 'tax_total': 5808, 'grand_total': 18607.68}
2026-04-28 16:48:33  [LOG] 2026-04-28T16:48:33.335138 | grand=19940.98 | mofet=14132.98 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 2, 'fighter_2025': 135, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 14132.98, 'tax_total': 5808, 'grand_total': 19940.98}
2026-04-28 16:48:37  [LOG] 2026-04-28T16:48:37.962536 | grand=12594.57 | mofet=6786.57 | tax=5808 | inputs={'routine_2023': 3, 'fighter_2023': 86, 'routine_2024': 20, 'fighter_2024': 89, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 102, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 6786.57, 'tax_total': 5808, 'grand_total': 12594.57}
2026-04-28 16:48:38  [LOG] 2026-04-28T16:48:38.549190 | grand=16474.4 | mofet=10666.4 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 111, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 10666.4, 'tax_total': 5808, 'grand_total': 16474.4}
2026-04-28 16:48:39  [LOG] 2026-04-28T16:48:39.742172 | grand=11541.19 | mofet=5733.19 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 74, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 5733.19, 'tax_total': 5808, 'grand_total': 11541.19}
2026-04-28 16:48:40  [LOG] 2026-04-28T16:48:40.595722 | grand=12607.83 | mofet=6799.83 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 82, 'routine_2025': 0, 'fighter_2025': 82, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 6799.83, 'tax_total': 5808, 'grand_total': 12607.83}
2026-04-28 16:48:41  [LOG] 2026-04-28T16:48:41.519023 | grand=0 | mofet=0 | tax=0 | inputs={'routine_2023': 1, 'fighter_2023': 2, 'routine_2024': 1, 'fighter_2024': 104, 'routine_2025': 1, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 0, 'tax_total': 0, 'grand_total': 0}
